,监控的网页,当前最新通知,网站名称,网站链接
0,https://dxy.cug.edu.cn/index/tzgg.htm,地球科学学院2022年调剂复试考生名单公示,通知公告-地球科学学院,https://dxy.cug.edu.cn/index/tzgg.htm/../../info/1035/2625.htm
1,https://zyxy.cug.edu.cn/rcpy/yjspy/yjszs.htm,资源学院2022年硕士研究生调剂复试成绩及拟录取结果公示（更新协同中心复试情况）,研究生招生-中国地质大学资源学院,https://zyxy.cug.edu.cn/rcpy/yjspy/yjszs.htm/../../../info/1035/8335.htm
2,https://chxy.cug.edu.cn/index/yjspy.htm,2022年中国地质大学（武汉）材料与化学学院硕士研究生调剂复试成绩公示,研究生培养-材料与化学学院,https://chxy.cug.edu.cn/index/yjspy.htm/../../info/1190/5637.htm
3,https://ses.cug.edu.cn/yjspy.htm,环境学院调剂复试结果公示,研究生培养-环境学院,https://ses.cug.edu.cn/yjspy.htm/../info/1121/7054.htm
4,https://gcxy.cug.edu.cn/index/yjsjy.htm,工程学院2022年硕士研究生调剂复试成绩及拟录取结果公示,研究生教育-工程学院,https://gcxy.cug.edu.cn/index/yjsjy.htm/../../info/1112/4250.htm
5,https://dkxy.cug.edu.cn/yjsjy1/tzgg.htm,2022年硕士招生进入复试调剂考生名单,通知公告-地球物理与空间信息学院,https://dkxy.cug.edu.cn/yjsjy1/tzgg.htm/../../info/1047/4157.htm
6,https://sft.cug.edu.cn/index/tzgg.htm,未来技术学院2022年硕士研究生调剂复试成绩及拟录取名单公示,通知公告-未来技术学院,https://sft.cug.edu.cn/index/tzgg.htm/../../info/1051/1252.htm
7,https://jidian.cug.edu.cn/yjsjy.htm,机电学院2022年调剂生拟复试名单,研究生教育-中国地质大学（武汉）机械与电子信息学院,https://jidian.cug.edu.cn/yjsjy.htm/../info/1070/5672.htm
8,https://au.cug.edu.cn/syyjsjy.htm,自动化学院2022年硕士研究生调剂复试成绩及拟录取结果公示,首页研究生教育-中国地质大学（武汉）自动化学院,https://au.cug.edu.cn/syyjsjy.htm/../info/1061/8230.htm
9,https://xgxy.cug.edu.cn/yjspy/zsxx.htm,2022年硕士研究生调剂复试成绩及拟录取名单公示												,招生信息-地理与信息工程学院,https://xgxy.cug.edu.cn/yjspy/zsxx.htm/../../info/1023/4330.htm
10,https://jslab.cug.edu.cn/index/tzgg.htm,地质探测与评估教育部重点实验室2022年硕士研究生调剂复试成绩及拟录取名单公示（第二,通知公告-地质探测与评估教育部重点实验室,https://jslab.cug.edu.cn/index/tzgg.htm/../../info/10599/1781.htm
11,https://cs.cug.edu.cn/tzgg/yjsgz.htm,中国地质大学（武汉）计算机学院2022年硕士研究生调剂复试成绩及拟录取结果公示,研究生工作-中国地质大学计算机学院,https://cs.cug.edu.cn/tzgg/yjsgz.htm/../../info/1021/3657.htm
12,https://jyyjy.cug.edu.cn/index/xyxw.htm,2022年教育研究院调剂复试成绩及拟录取结果公示,学院新闻-教育研究院,https://jyyjy.cug.edu.cn/index/xyxw.htm/../../info/1045/2505.htm
13,https://cmst.cug.edu.cn/yjspy/yjszs.htm,中国地质大学（武汉）海洋学院调剂复试成绩及拟录名单公示,研究生招生-海洋学院,https://cmst.cug.edu.cn/yjspy/yjszs.htm/../../info/1186/4448.htm
14,https://gis.cug.edu.cn/xwdt/tzgg.htm,国家GIS工程技术研究中心2022年硕士研究生调剂复试成绩及拟录取结果公示,通知公告-国家地理信息系统工程技术研究中心,https://gis.cug.edu.cn/xwdt/tzgg.htm/../../info/1032/1386.htm
15,http://wnlo.hust.edu.cn/yjsjy/zsgz.htm,2022年武汉光电国家研究中心研究生导师招生信息汇总,招生工作-武汉光电国家研究中心,http://wnlo.hust.edu.cn/yjsjy/zsgz.htm/../../info/1178/10919.htm
16,https://au.cug.edu.cn/sybksjy.htm,2022届本科毕业生毕业设计中期检查答辩公告（十二）,首页本科生教育-中国地质大学（武汉）自动化学院,https://au.cug.edu.cn/sybksjy.htm/../info/1060/8234.htm
17,http://www.liyuanhospital.com/index.php/index-show-tid-42.html,梨园医院2022年硕士研究生复试成绩公示,研究生教育-梨园医院,http://www.liyuanhospital.com/index.php/index-show-tid-42.html/../..//index.php/index-view-aid-2299.html
18,https://www.tjh.com.cn/channels/296.html,同济医院2022年具有招生资格教师名单,招生信息_华中科技大学同济医学院附属同济医院,https://www.tjh.com.cn/channels/296.html/../..//contents/296/47551.html
19,http://old.whuh.com/c/251.html,协和医院2022年硕士研究生第三轮（4月8日）复试成绩公示,招生信息-华中科技大学同济医学院附属协和医院,http://old.whuh.com/articles/15971.html
